stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
LEGNANO,REG,4.274372640461914,3.0,133,9006,4073,2252,586,45.593653,8.910638
LESEGNO,REG,-0.5108359133126935,-1.0,18,1292,42,25,15,44.385891,7.94266
LEVATA,REG,3.159643435980551,2.0,31,2468,787,431,156,,
LEVICO,REG,3.5587774294670846,3.0,17,1276,526,228,26,46.005729,11.30493
LIDO DI LAVINIO,REG,2.228038507821901,1.0,58,3324,514,223,80,41.500599,12.625926
LISON,REG,2.40325117986366,1.0,34,1907,322,177,44,45.751947,12.759416
LIVORNO CENTRALE,REG,0.9316007940804909,0.0,95,5541,979,517,175,43.55406,10.336593
LOMELLO,REG,3.5583464154892726,3.0,28,1911,683,350,84,45.117276,8.799121
LONGARONE ZOLDO,REG,2.0716510903426792,2.0,24,963,191,45,8,46.267466,12.301953
LONIGO,REG,12.5,10.0,7,8,8,8,3,45.413269,11.345016
LORETO,REG,2.383501259445844,1.0,87,4764,1230,686,189,43.448376,13.620455
LUCCA,REG,2.251548612981417,2.0,166,7426,2060,949,225,43.837186,10.506069
LUGO,REG,5.138297872340425,3.0,45,3478,1733,1072,391,44.414106,11.914723
MACCARESE,REG,1.4932998324958124,1.0,90,5970,814,368,102,41.879372,12.23695
MAGNACAVALLO,REG,2.0178173719376393,0.0,16,898,163,78,50,,
MANDATORICCIO CAMPANA,REG,4.924707602339181,4.0,20,1368,698,466,143,39.525442,16.893125
MANDELA-SAMBUCI,REG,1.874784110535406,1.0,37,2316,440,239,78,42.016212,12.921976
MANTOVA,REG,2.5515938606847697,1.0,59,4235,1097,652,266,45.158746,10.783165
MANTOVA FRASSINE,REG,0.647189349112426,0.0,23,1352,108,52,24,45.150491,10.831007
MARATEA,REG,2.870148538572113,1.0,34,2087,584,392,139,39.995028,15.70975
MARCARIA,REG,6.362652232746956,4.0,27,2217,1169,837,343,45.124518,10.533651
MARCELLINA-PALOMBARA,REG,1.8600388780894197,1.0,56,3601,666,284,76,41.999609,12.79134
MARMORE,REG,2.7434343434343433,2.0,35,1980,561,262,67,42.547499,12.715224
MAROTTA MONDOLFO,REG,3.2120104438642296,2.0,55,3830,1199,774,227,43.769748,13.137273
MASSA CENTRO,REG,3.33379804819757,2.0,83,5021,1783,1031,278,44.023741,10.136041
MEDA,REG,-0.0002824858757062147,0.0,53,3540,2,1,0,,
MELITO DI PORTO SALVO,REG,1.1068056007815044,0.0,50,3071,458,281,116,37.916732,15.780816
MELZO,REG,2.426440677966102,1.0,107,7375,1819,1229,402,45.502191,9.420653
MERANA,REG,5.312632321806634,5.0,23,1417,915,555,70,44.519368,8.298327
MERANO MAIA BASSA,REG,1.9210813762971055,1.0,50,3662,724,249,43,46.656202,11.147931
MERGOZZO,REG,3.286466165413534,2.0,32,1330,354,220,97,45.961303,8.440881
MERONE,REG,0.009726443768996961,0.0,50,3290,1,1,1,45.781374,9.243772
METAPONTO,REG,0.931237721021611,-1.0,7,509,99,68,31,40.368496,16.815176
MEZZANI RONDANI,REG,5.569696969696969,4.0,29,2310,1286,867,244,44.966764,10.398818
MEZZOCORONA,REG,4.481873861943387,3.0,103,6041,2741,1630,427,46.207258,11.128595
