stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
MADDALONI INFERIORE,Fri,21.5,15.0,4,4,4,4,4
MAGENTA,Fri,2.7257824143070044,2.0,127,1342,377,169,49
MAGLIANA,Fri,2.4784313725490197,2.0,127,1530,360,123,25
MALPENSA AEROPORTO T1,Fri,0.0029411764705882353,0.0,39,340,0,0,0
MANAROLA,Fri,9.571428571428571,9.0,6,7,7,6,2
MANDATORICCIO CAMPANA,Fri,4.254716981132075,3.0,19,212,104,64,18
MANDELA-SAMBUCI,Fri,2.1580459770114944,1.0,36,348,78,45,13
MANDELLO DEL LARIO,Fri,3.8963414634146343,2.0,54,656,202,119,49
MANOPPELLO,Fri,1.1382978723404256,1.0,31,282,33,15,8
MANZIANA-CANALE MONTERANO,Fri,3.403930131004367,3.0,47,458,176,80,19
MARANO,Fri,3.6341463414634148,3.0,35,410,161,58,14
MARATEA,Fri,4.127314814814815,1.0,45,432,133,99,41
MARCELLINA VERBICARO ORSOMARSO,Fri,2.8701923076923075,1.0,20,208,56,37,13
MARCELLINA-PALOMBARA,Fri,1.882882882882883,2.0,54,555,114,46,8
MARIANO COMENSE,Fri,0.005988023952095809,0.0,44,501,0,0,0
MARINA DI MARATEA,Fri,9.0,9.0,1,1,1,1,0
MARONE - ZONE,Fri,0.012738853503184714,0.0,22,157,0,0,0
MARSALA,Fri,1.9333333333333333,1.0,31,300,60,31,17
MARZABOTTO,Fri,1.9903691813804174,2.0,56,623,100,25,7
MASSAFRA,Fri,19.0,19.0,1,1,1,1,1
MEDE,Fri,5.277580071174377,4.0,26,281,165,93,17
MEDESANO,Fri,2.9166666666666665,2.0,2,24,6,3,0
MEINA,Fri,4.242105263157895,3.0,17,190,86,66,25
MELE,Fri,5.930795847750865,4.0,23,289,149,107,48
MELITO DI PORTO SALVO,Fri,1.793040293040293,0.0,50,546,110,75,33
MELZO,Fri,2.2728070175438595,1.0,102,1140,285,193,58
MEOLO,Fri,12.666666666666666,11.0,3,3,3,3,3
MERCATELLO,Fri,0.2619047619047619,0.0,52,252,3,1,0
MERCATO SAN SEVERINO,Fri,1.3525179856115108,1.0,16,139,30,13,5
MESSINA CENTRALE,Fri,1.9469496021220158,0.0,80,754,108,75,45
MIGLIARINO,Fri,1.124223602484472,1.0,18,161,10,3,1
MILANO BRUZZANO,Fri,1.5880149812734083,1.0,28,267,42,15,6
MILANO CENTRALE,Fri,4.319414893617021,2.0,336,3760,1429,947,448
MILANO LAMBRATE,Fri,4.12981455064194,2.0,374,4206,1486,957,381
MILANO LANCETTI,Fri,2.3885578069129916,1.0,344,3356,885,494,157
MILANO PORTA GARIBALDI,Fri,2.5174708818635607,1.0,263,3005,884,495,182
MILANO PORTA VITTORIA,Fri,2.2142431466030987,1.0,344,3356,922,530,160
MILANO VENEZIA,Fri,4.218116805721096,3.0,344,3356,1470,832,245
MODANE,Fri,4.642857142857143,0.0,4,14,6,5,3
MOLA DI BARI,Fri,2.3512396694214877,1.0,83,726,168,94,38
MOLTENO,Fri,2.7336601307189543,2.0,51,612,204,99,18
MOMO,Fri,2.71,2.0,20,200,53,24,7
MONASTERACE STILO,Fri,4.918495297805642,4.0,31,319,162,121,39
MONGARDINO,Fri,1.5344827586206897,1.0,16,174,16,8,1
MONTALE AGLIANA,Fri,10.0,10.0,1,1,1,1,0
MONTALTO DI CASTRO,Fri,0.33676975945017185,-1.0,25,291,38,16,6
MONTANARO,Fri,2.0869565217391304,2.0,34,345,77,33,12
MONTECATINI CENTRO,Fri,7.409160305343511,6.0,66,655,516,402,130
MONTEFIASCONE,Fri,2.574074074074074,1.0,18,216,37,24,14
MONTELUPO CAPRAIA,Fri,8.714285714285714,7.0,12,14,12,10,4
MONTEMARCIANO,Fri,3.3322683706070286,2.0,27,313,100,77,31
MONTERONI D`ARBIA,Fri,-0.10112359550561797,0.0,25,267,23,13,2
MONTESANTO,Fri,3.433846153846154,2.0,33,325,70,40,21
MONTI TELTI,Fri,1.3904761904761904,2.0,19,105,18,10,3
MONTICELLO D`ALBA,Fri,0.7675675675675676,0.0,19,185,9,5,1
MONZA,Fri,3.2400914634146343,2.0,363,3936,1223,719,262
MORTARA,Fri,3.220779220779221,2.0,80,616,212,127,37
MOSCIANO S. ANGELO,Fri,5.810457516339869,7.0,42,459,241,237,118
MOTTA DI LIVENZA,Fri,0.928030303030303,0.0,22,264,21,15,7
MOTTA S. DAMIANO,Fri,4.387453874538745,2.0,22,271,104,69,36
MURATELLA,Fri,2.842452208305867,2.0,126,1517,376,124,26
NAPOLI MERGELLINA,Fri,7.2,5.0,10,10,7,5,2
NAVACCHIO,Fri,2.911764705882353,2.0,50,510,169,83,17
NERA MONTORO,Fri,1.0,1.0,1,1,0,0,0
NIBBIA,Fri,3.125,3.0,4,40,16,5,0
NICHELINO,Fri,4.6716417910447765,4.0,46,536,302,164,24
NIZZA DI SICILIA,Fri,4.263940520446097,3.0,28,269,110,67,20
NOCERA SUPERIORE,Fri,2.307443365695793,2.0,82,927,196,80,22
NOVATE-MEZZOLA,Fri,0.7712082262210797,0.0,35,389,18,10,2
NUS,Fri,2.8871681415929205,2.0,70,452,129,54,14
OGGIONO,Fri,2.8525252525252527,2.0,41,495,140,72,17
ORA,Fri,9.0,9.0,5,6,5,4,2
ORBETELLO,Fri,1.7766990291262137,1.0,27,309,63,31,14
ORDONA,Fri,4.148514851485149,2.0,9,101,42,25,8
ORICOLA-PERETO,Fri,2.2348993288590604,1.0,14,149,26,11,2
ORTE,Fri,2.718137254901961,1.0,108,1224,334,199,90
OSNAGO,Fri,3.535,1.0,68,800,235,139,51
OSPITALETTO TRAVAGLIATO,Fri,2.810012836970475,1.0,64,779,172,97,39
OSTERIA NUOVA,Fri,3.1127633209417596,2.0,78,807,221,143,51
OULX CESANA CLAVIERE SESTRIERE,Fri,1.5262008733624455,1.0,57,458,59,37,19
OZZANO DELL'EMILIA,Fri,5.774696707105719,4.0,56,577,366,219,61
PABILLONIS,Fri,7.0,7.0,1,1,1,1,0
PADERNO ROBBIATE,Fri,6.491017964071856,6.0,40,501,356,255,74
PALAGIANO CHIATONA,Fri,1.9682539682539681,-1.0,5,63,16,11,7
PALAZZOLO SULL`OGLIO,Fri,4.083657587548638,2.0,46,514,200,112,31
PALERMO NOTARBARTOLO,Fri,-0.9204284621270085,-1.0,142,1307,24,13,8
PALIZZI,Fri,3.0482758620689654,2.0,13,145,39,22,6
PALMI,Fri,1.6424361493123771,1.0,48,509,84,51,18
PAOLA,Fri,1.6992561105207227,-1.0,90,941,171,127,73
