stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
PALIZZI,IC,Tue,79.0,20.0,1,2,2,2,2
PALMI,IC,Tue,17.0,7.0,3,3,2,2,1
PAVIA,IC,Tue,3.0528169014084505,2.0,24,284,94,57,20
PORDENONE,IC,Tue,3.5,2.0,1,2,1,0,0
PORTO S. GIORGIO FERMO,IC,Tue,4.021897810218978,3.0,11,137,59,44,17
PRAJA AJETA TORTORA,IC,Tue,7.230769230769231,3.0,4,52,25,21,13
REGGIO CALABRIA CENTRALE,IC,Tue,4.641791044776119,-1.0,7,67,21,15,10
RICADI,IC,Tue,11.333333333333334,9.0,3,3,2,2,1
RIMINI,IC,Tue,0.6413793103448275,-1.0,15,145,23,14,7
ROCCELLA JONICA,IC,Tue,9.653846153846153,5.0,4,52,34,25,18
ROMA TERMINI,IC,Tue,7.339285714285714,2.0,29,280,118,87,51
ROMA TIBURTINA,IC,Tue,9.045454545454545,2.0,12,110,42,34,23
S. DONA` DI PIAVE,IC,Tue,2.2564102564102564,1.0,3,39,11,6,3
S. MARGHERITA LIGURE PORTOFINO,IC,Tue,3.074829931972789,2.0,12,147,52,36,15
S.AGATA M.,IC,Tue,7.953488372093023,3.0,8,43,19,15,8
SALERNO,IC,Tue,6.697478991596639,1.0,32,238,94,82,52
SAPRI,IC,Tue,9.177777777777777,2.0,16,135,58,52,32
SCALEA S.DOMENICA TALAO,IC,Tue,12.25925925925926,5.0,13,108,57,51,33
SENIGALLIA,IC,Tue,2.8043478260869565,1.0,11,138,40,25,16
SIBARI,IC,Tue,8.48076923076923,4.0,4,52,30,23,13
TARANTO,IC,Tue,3.901639344262295,-2.0,5,61,19,16,8
TELESE CERRETO,IC,Tue,5.961538461538462,5.0,2,26,17,13,6
TERMINI IMERESE,IC,Tue,3.604651162790698,-2.0,8,43,11,9,7
TERMOLI,IC,Tue,5.433628318584071,3.0,11,113,55,48,23
TERONTOLA CORTONA,IC,Tue,4.479166666666667,2.0,13,144,55,41,20
TORINO P.NUOVA,IC,Tue,1.5740740740740742,2.0,6,54,12,3,0
TREVISO C.,IC,Tue,0.5,-1.0,1,2,0,0,0
TRIESTE CENTRALE,IC,Tue,2.076923076923077,2.0,1,13,4,2,0
VALLO DELLA LUC. CASTELNUOVO,IC,Tue,14.043956043956044,4.0,9,91,48,42,25
VASTO S.SALVO,IC,Tue,6.099099099099099,3.0,9,111,54,43,20
VENEZIA SANTA LUCIA,IC,Tue,-1.5,-4.0,1,2,0,0,0
VENTIMIGLIA,IC,Tue,4.909090909090909,3.0,6,66,33,25,8
VERCELLI,IC,Tue,1.3793103448275863,0.0,3,29,4,3,1
VIBO MARINA,IC,Tue,14.333333333333334,11.0,3,3,2,2,2
