stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BISCEGLIE,4.158245201723463,2.0,151,7659,2731,1664,669,41.235445,16.499484
BOLLATE NORD,0.7758807262233979,0.0,101,8317,640,237,26,,
BOLOGNA SAN VITALE,3.8104078351118256,2.0,137,6841,2345,1501,393,,
BOLZANO NOVARESE,2.17877094972067,1.0,3,179,23,9,4,45.759357,8.440754
BONDENO,2.135593220338983,1.0,18,1003,193,103,40,,
BORDIGHERA,2.877532437969497,2.0,76,4393,1093,643,241,43.778313,7.663504
BORGHETTO SANTO SPIRITO,12.4,14.0,5,5,3,3,3,44.109006,8.242346
BORGO FORNARI PER VOLTAGGIO,16.0,16.0,1,1,1,1,1,44.588379,8.938295
BORGO LAVEZZARO,2.471244131455399,2.0,31,1704,401,179,52,45.318783,8.703242
BORGO S. LORENZO,1.4580193756727664,1.0,58,3716,778,430,125,43.959822,11.380422
BORGO S.MARTINO,1.6768687463213654,1.0,27,1699,281,148,37,45.087083,8.520661
BORGO VAL DI TARO,2.789108910891089,2.0,42,3030,909,576,177,44.486522,9.781489
BORGOFRANCO,2.412532637075718,1.0,8,383,87,49,14,45.514775,7.854612
BORGONE,0.37381516587677727,-1.0,46,3376,305,169,53,45.123191,7.236037
BOVA MARINA,3.839798488664987,2.0,32,1985,653,410,151,37.930269,15.923897
BOVALINO,4.289316239316239,2.0,36,2340,944,615,246,38.149087,16.180584
BRA,0.4945631796025497,0.0,37,2667,189,89,42,44.693556,7.848643
BRANCALEONE,4.229255774165954,2.0,36,2338,915,585,245,37.965475,16.103301
BRANDIZZO,2.0672143390589994,1.0,54,4017,773,362,71,45.178915,7.841218
BRESCIA,2.973219766728054,2.0,185,13032,3941,2277,888,45.532315,10.212828
BRISIGHELLA,4.120830711139082,3.0,23,1589,707,369,82,44.220565,11.769757
BRUNICO NORD,1.4595419847328244,1.0,10,655,54,12,6,,
BRUZOLO,0.6337278106508876,0.0,46,3380,310,175,52,45.131032,7.201497
BUDOIA POLCENIGO,-0.788235294117647,-1.0,24,1105,19,12,7,46.031464,12.537637
BUONCONVENTO,0.6958128078817734,0.0,18,812,101,34,11,43.135503,11.483773
BUSALLA,-0.34283295711060946,-1.0,50,3544,273,154,63,44.57558,8.943611
BUSSOLENO,0.38361854128592787,0.0,110,6019,750,393,125,45.139631,7.144819
BUSTO ARSIZIO N.,1.1475287069395905,1.0,51,4006,340,96,39,,
CAIRO MONTENOTTE,0.7496473906911142,-1.0,23,1418,87,64,41,44.394747,8.278786
CALALZO PIEVE CADORE CORTINA,0.6460905349794238,0.0,12,486,44,19,5,46.443829,12.388668
CALCIO,19.153846153846153,12.0,10,13,12,11,9,45.532937,9.841342
CALDIERO,4.230021141649049,2.0,42,2365,813,532,268,45.41407,11.169753
CALOPEZZATI,4.092633114514952,3.0,21,1371,624,365,89,39.579022,16.819361
CALTANISSETTA CENTRALE,-0.45465323058684054,-2.0,31,1687,209,130,56,37.48829,14.057396
CAMAIORE LIDO CAPEZZANO,6.1,5.0,16,20,13,10,4,43.912176,10.24765
CAMERANO ASPIO,28.0,28.0,1,1,1,1,1,,
CAMMARATA S.GIOVANNI GEMINI,0.5046637211585665,1.0,29,2037,494,232,67,37.653759,13.673791
CAMPO DI CARNE,2.1234460826828565,1.0,60,3459,772,351,95,41.552116,12.635125
CAMPOBELLO RAVANUSA,4.114583333333333,3.0,6,384,146,85,26,37.265731,13.946251
CAMPODARSEGO,6.25,5.0,8,8,6,2,1,45.505721,11.900894
CAMPOLIGURE MASONE,4.531997774067891,3.0,24,1797,848,471,147,44.530909,8.700878
CAMUCIA CORTONA,3.7859416445623344,2.0,54,3770,1459,826,269,43.261104,11.971245
CANDELA,4.684210526315789,3.0,8,532,255,175,43,41.151439,15.533163
CANDIOLO,4.380804077010192,4.0,46,3532,1852,1119,123,44.961155,7.598973
CANICATTI`,2.2824858757062145,1.0,15,885,203,115,41,37.359879,13.855395
CANISTRO,4.8,0.0,8,10,2,2,2,,
CANNETO SULL`OGLIO,6.860746720484359,5.0,24,1982,1365,939,288,45.150211,10.37147
CAPACI,9.75,11.0,7,8,7,6,5,38.171794,13.232398
CARAVAGGIO,4.278502747252747,2.0,43,2912,1087,709,262,45.491158,9.637723
CARBONIA SERBARIU,0.14970563498738435,-1.0,19,1189,62,35,12,39.169508,8.509186
CARDILLO ZEN,11.5,10.0,2,2,2,2,1,38.17495,13.296897
