stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
TARGIA,IC,1.0,1.0,1,1,0,0,0,37.10963,15.245908
TELESE CERRETO,IC,8.779661016949152,6.0,2,177,123,99,53,41.211709,14.526165
TERME EUGANEE-ABANO-MONTEGR.,IC,6.475806451612903,1.0,7,124,33,27,16,45.32744,11.79604
TERMOLI,IC,5.486714975845411,3.0,16,828,400,314,164,42.000623,14.992805
TORINO LINGOTTO,IC,0.6373801916932907,-1.0,17,626,79,45,25,45.0266,7.657469
TORINO PORTA SUSA,IC,1.1515151515151516,0.0,4,198,23,13,5,45.075906,7.667673
TORRE MELISSA,IC,18.6,21.0,1,5,4,4,4,39.304391,17.108402
TRANI,IC,7.0396825396825395,4.0,21,1008,529,359,187,41.272693,16.417646
TREVISO C.,IC,12.363636363636363,0.0,4,22,5,5,3,45.659608,12.24614
TRIESTE AIRPORT,IC,2.1392857142857142,1.0,5,280,55,33,13,,
TROPEA,IC,5.380952380952381,-2.0,6,42,10,9,6,38.672302,15.894568
VAIRANO,IC,9.775862068965518,5.0,2,174,93,87,77,41.317446,14.104022
VALDAORA - ANTERSELVA,IC,-4.0,-4.0,1,1,0,0,0,46.769231,12.02898
VARAZZE,IC,7.468085106382978,6.0,3,47,36,27,10,44.356842,8.566682
VASTO S.SALVO,IC,6.4185463659147866,3.0,13,798,373,280,142,42.079832,14.739483
VENEZIA SANTA LUCIA,IC,11.954545454545455,1.0,4,22,5,4,4,45.441569,12.320882
VERCELLI,IC,1.6414141414141414,0.0,4,198,35,21,10,45.329909,8.416028
VERONA PORTA NUOVA,IC,6.0,-2.0,4,5,1,1,1,45.428603,10.982377
VIAREGGIO,IC,3.814070351758794,2.0,30,1592,562,367,165,43.865947,10.257886
VIBO MARINA,IC,8.428571428571429,2.0,6,42,18,13,8,38.713731,16.120199
VIBO VALENZIA PIZZO,IC,7.6267029972752045,1.0,14,734,211,161,101,38.714593,16.139887
VILLA CASTELLI,IC,14.75,0.0,2,20,8,7,6,40.523377,17.476149
VILLA LITERNO,IC,116.66666666666667,70.0,2,3,3,3,3,41.004956,14.06753
VILLA SAN GIOVANNI,IC,7.274831243972999,0.0,31,1037,311,243,178,38.216638,15.634336
VILLABASSA - BRAIES,IC,1.0,1.0,1,1,0,0,0,46.736492,12.167041
VOGHERA,IC,4.982410423452769,3.0,28,1535,720,441,149,44.9978,9.007942
ZAPPULLA,IC,7.0,6.0,1,2,2,2,0,38.116962,14.703086
